L5,8.11,30.11,90.00,68uH,ESP32_C6_LIBRARY_2_IND_4828-WE-TPC_WRE
L7,33.36,14.26,0.00,FTC252012SR47MBCA,MLP2016SR47MT0S1_INDC2016X100N
Q1,8.35,21.49,90.00,20V/4.2A/52mΩ/1.4W,ESP32_C6_LIBRARY_4_ESP32_C6_LIBRARY_4_ESP32_C6_LIBRARY_4_ESP32_C6_LIBRARY_4_ESP32_WROVER_SPARKFUN-DISCRETESEMI_SOT23-3
Q3,3.16,31.90,0.00,SI1308EDL-T1-GE3,ESP32_C6_LIBRARY_6_SOT65P210X110-3N
R17,11.25,22.56,0.00,3K3,CPF0201D7K68C1_0201
R18,15.51,21.93,91.00,3K3,CPF0201D7K68C1_0201
R1_EP_DR,-0.46,31.53,180.00,0.47,CPF0201D7K68C1_0201
R1_USB,16.90,31.52,270.00,5K1,CPF0201D7K68C1_0201
R2,24.58,16.27,0.00,0,CPF0201D7K68C1_0201
R2_EP_DR,0.21,33.41,180.00,10K,CPF0201D7K68C1_0201
R2_USB,12.36,31.54,270.00,5K1,CPF0201D7K68C1_0201
R3,12.25,25.49,0.00,0,CPF0201D7K68C1_0201
R4,24.63,17.50,0.00,0,CPF0201D7K68C1_0201
R5,7.71,10.24,180.00,10k,CPF0201D7K68C1_0201
R7,26.08,10.92,180.10,10k,CPF0201D7K68C1_0201
R8,13.93,9.08,0.00,10k,CPF0201D7K68C1_0201
R9,23.53,15.62,0.00,10K,CPF0201D7K68C1_0201
R_PWR_EPD,10.53,22.53,0.00,10K,CPF0201D7K68C1_0201
R_TYPE_SEL,10.74,20.56,0.00,2.2,CPF0201D7K68C1_0201
SJ1,11.53,17.18,0.00,,ESP32_C6_LIBRARY_7_JUMPER_SJ
SW_DN,27.63,8.04,180.00,2025-10-22_07-23-44_LIBRARY_EVP-AKE31ASW_EVP-AKE31A_PAN,2025-10-22_07-23-44_LIBRARY_SW_EVP-AKE31A_PAN
SW_ENT,16.70,8.09,180.00,2025-10-22_07-23-44_LIBRARY_EVP-AKE31ASW_EVP-AKE31A_PAN,2025-10-22_07-23-44_LIBRARY_SW_EVP-AKE31A_PAN
SW_UP,5.64,7.99,180.00,2025-10-22_07-23-44_LIBRARY_EVP-AKE31ASW_EVP-AKE31A_PAN,2025-10-22_07-23-44_LIBRARY_SW_EVP-AKE31A_PAN
TP_3.3V,14.64,19.38,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP_3V3,28.26,33.73,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP_BAT_GND,35.98,11.48,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP_GND,37.95,14.74,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP_ON,26.27,12.61,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP_OP,23.38,7.15,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP_RESET,23.51,20.25,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP_SCL,12.12,14.78,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP_SDA,18.15,20.35,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP_SWDCLK,35.35,26.39,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP_SWDIO,38.19,26.20,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP_SWO,25.80,20.29,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP_VBAT,20.80,6.38,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
TP_VREG,22.95,10.28,0.00,HECTOR_WATCH_1_TPTP20R,HECTOR_WATCH_1_TP20R
U1,23.97,25.60,0.00,NRF52840_QF,NORDIC_NRF_4_AQFN50P700X700X85_HS-74N
U3,17.16,12.13,0.00,MAX17048G+T10,ESP32_C6_LIBRARY_SON50P200X200X80-9N
X1,31.06,28.07,0.00,32MHz,NORDIC_NRF_BT-XTAL_2016_N
X2,19.01,25.63,270.00,32.768kHz,NORDIC_NRF_1_XTAL_3215_N
